Event Name,Start Time,Address,Guest Count,Hosts,Url
Haus of Nouns – NYC – 1,2025-05-01T16:00:00.000Z,,0,Benjamin Latsko,https://lu.ma/usaxgn2p
From Startup to Scale-up: Evolution of Tech Talent Strategy,2025-05-01T22:00:00.000Z,,0,"Chloe with Twill, Michelle Volberg, Maria Pope, Michelle Burrell",https://lu.ma/hkmsl9zp
Nucleate x BlueRock: HH Mixer,2025-05-01T22:00:00.000Z,,109,Nucleate New York,https://lu.ma/kfq71dni
Pizzacaster,2025-05-01T22:00:00.000Z,"148 Frost St, Brooklyn, NY 11211, USA",488,"PizzaDAO, Irving Ortega, Jean-Pierre Dominguez",https://lu.ma/n1iag82x
The AI Native Startup: How to Scale to $100M with 10 People and 1000s of AI Agents,2025-05-01T22:00:00.000Z,"The Yard: Columbus Circle Coworking Office Space NYC, 33 W 60th St, New York, NY 10023, USA",150,"Roland Siebelink ⦨, Amália Cymrot-Wu, The Yard",https://lu.ma/tadsf6st
NYC AI Demos,2025-05-01T22:30:00.000Z,"The Refinery at Domino, 300 Kent Ave, Brooklyn, NY 11249, USA",334,"Kyle Bhiro, Tech:NYC, Michaella Solar-March",https://lu.ma/szvbtgbq
Consumer Deep Dive with Monad & Farcaster @ Farcon,2025-05-01T23:00:00.000Z,,0,"Monad Foundation, Alix Zerd, Shreyas Hariharan, ted (not lasso)",https://lu.ma/i4q58oo6
Tech Pickleball NYC,2025-05-02T11:30:00.000Z,"McCarren Park Tennis Courts, 50 Bedford Ave, Brooklyn, NY 11222, USA",1272,"John DiLoreto, Skyler Birk-Stachon, Optemization",https://lu.ma/9uxgw8l4
BuildHer Brunch NYC,2025-05-02T12:00:00.000Z,,0,"Aneri, Joanie, Base, Ceren M.A.",https://lu.ma/mww8ckn3
Pitch and Run Friday - The Original PNR,2025-05-02T12:55:00.000Z,"Bluestone Lane Chelsea Piers Café, 62 Chelsea Piers Pier 62, New York, NY 10011, USA",325,Kevin Weatherman,https://lu.ma/vrqiepu2
CORE x HUWiE x WWV Labs x Fierce Foundry: Female Founder Friday,2025-05-02T15:30:00.000Z,,93,"Lilly Montelle, Daniela Andrade, Angie Hu, Sophia Huh",https://lu.ma/wwrwthpn
Haus of Nouns – NYC – 2,2025-05-02T16:00:00.000Z,,0,Benjamin Latsko,https://lu.ma/bzyziiu9
2025 NYU Entrepreneurs Challenge: Final Pitch-Off & Awards Ceremony,2025-05-02T17:00:00.000Z,"NYU Stern School of Business, 44 West 4th Street, New York, NY 10012, USA",0,NYU Stern Berkley Center for Entrepreneurship,https://lu.ma/yfwvol5l
Asian Heritage Launch 2025 | New York City,2025-05-02T21:00:00.000Z,,0,,https://lu.ma/2p31zgsu
Runway Meetup NYC: Sitcom Generations! - Make A Sitcom With AI Tools,2025-05-02T21:00:00.000Z,,119,"Minh Do, Justin Suarez, Ia Robinson",https://lu.ma/2kbp0ogh
Founders Running Club :: New York,2025-05-03T13:00:00.000Z,"Abingdon Square, Hudson St, New York, NY 10014, USA",692,Founders Running Club,https://lu.ma/wsf4r70w
Clay Club: Ceramic Vessels,2025-05-03T14:30:00.000Z,"20 Grand Ave, Brooklyn, NY 11205, USA",0,RecCreate Collective,https://lu.ma/t2nc2ko8
Glass Painting Workshop #2! Making Spring sun catchers & coasters,2025-05-03T15:00:00.000Z,,9,Angel,https://lu.ma/p5cqr7lb
May 3 A\N/A Asian Culture Style & Taste - Artistry Showrooms at Spring Place,2025-05-03T15:00:00.000Z,,218,"Asian Creative Foundation, Michelle Collins, Fashion Week Brooklyn",https://lu.ma/warzmebq
Parade Paradise: Charm Your Own Bikini,2025-05-03T16:00:00.000Z,"119 N 1st St, Brooklyn, NY 11249, USA",17,craftnook,https://lu.ma/wbe5xbmp
Bloom & Brew,2025-05-03T18:00:00.000Z,"Honey's, 93 Scott Ave, Brooklyn, NY 11237, USA",0,Us Two Tea,https://lu.ma/gk45fo5k
Farcaster Mini App Spotlight | Presented by Seed Club x Monad,2025-05-03T18:00:00.000Z,"Flatiron District, New York, NY, USA",133,"Seed Club, Monad Foundation",https://lu.ma/k6nuezmr
Kettlebell Workshop,2025-05-03T18:00:00.000Z,"65 Kent St, Brooklyn, NY 11222, USA",7,"Alexa Javens, Nico Battisti",https://lu.ma/15zrlrv7
The MOTHER of ALL ART SHOWS!,2025-05-03T18:00:00.000Z,"EDEN STUDIO NYC, 508 W 26th St Studio 5A, New York, NY 10001, USA",105,"Hitomi, kevin kearse",https://lu.ma/iko2wnhl
May 3 A\N/A Asian Culture Style & Taste Tastemaker Panel and Sunset Social,2025-05-03T20:00:00.000Z,"Spring Place (New York), 6 St Johns Ln, New York, NY 10013, USA",89,"Michelle Collins, Asian Creative Foundation",https://lu.ma/z7vjhwr3
OTWC Season 6: Part V,2025-05-04T14:00:00.000Z,"45 E 20th St floor 12, New York, NY 10003, USA",17,"James Q, Abi Suresh, Emily G",https://lu.ma/evmcoeli
Sunday Session | NY AI,2025-05-04T16:00:00.000Z,,0,"Derek Larson, Jake Zegil",https://lu.ma/y1wrs9ml
💫 Write Your After💫: Vision Writing Workshop,2025-05-04T18:00:00.000Z,"Plus de Vin, 445 Graham Ave, Brooklyn, NY 11211, USA",0,The After Party,https://lu.ma/6s16lhrn
NYC 30s/40s Mixer at the Brooklyn Museum,2025-05-04T20:00:00.000Z,"Brooklyn Museum, 200 Eastern Pkwy, Brooklyn, NY 11238, USA",33,Early Burdz,https://lu.ma/3a4yescl
Creative Charmscape Workshop: Jewelry Making,2025-05-04T22:30:00.000Z,"119 N 1st St, Brooklyn, NY 11249, USA",10,craftnook,https://lu.ma/negu9ydd
Sober(Curious) Cinco de Mayo Party,2025-05-05T22:00:00.000Z,"Hekate Café & Elixir Lounge, 167 Avenue B, New York, NY 10009, USA",0,Third Place Bar,https://lu.ma/nnb4bqc7
Builders' Evening with Andreessen Horowitz,2025-05-05T22:30:00.000Z,"200 Lafayette St, New York, NY 10012, USA",0,"Juhana Peltomaa, Michelangelo Pagliara, Alex Krass, Gabriel Vasquez",https://lu.ma/builders-evening
FC BK • Founders Run & Coffee!,2025-05-06T11:00:00.000Z,"209 N 11th St, Brooklyn, NY 11211, USA",0,"Founders Common, Haley Kennedy",https://lu.ma/inhqkv01
FC NYC • Founders Run & Coffee!,2025-05-06T11:00:00.000Z,"St. George Coffee, 74 7th Ave S, New York, NY 10014, USA",0,"Founders Common, Damian Tenuta",https://lu.ma/5v3hrwbz
Vulnerable AF: Brave Confident Relationships,2025-05-06T22:30:00.000Z,"Fabrik NYC, 12-16 Vestry St 4th Floor, New York, NY 10013, USA",12,Veronica Kaulinis,https://lu.ma/mcbdt7ku
Drawing as Seeing: Fruit Salad,2025-05-06T23:00:00.000Z,"Drawing Room, 247 W 30th St # 9R, New York, NY 10001, USA",0,"Drawing Room, Ray Hwang",https://lu.ma/7ptcgv64
CADRE Clean Beauty,2025-05-07T13:00:00.000Z,"Cafe Studio NYC, 195 Chrystie St Unit 102W, New York, NY 10002, USA",0,"Atomic Number 8, Alexa Lombardo",https://lu.ma/e6tkivcj
